Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002798;;75014;12;1;STV;REFECTION_CHAUSSEE;Elargissement du trottoir et réfection de la chaussé.;Rue de la Gaité et la Rue Vandamme;"Rue la Gaité de la Rue Depuis la Rue Vandamme jusqu'à la Rue Edgard Quinet.
et la Rue Vandamme depuis la Rue de la Gaité jusqu'à la Rue du Maine .";2025-02-24;2025-07-11;;;1;2;;"{""coordinates"": [[[2.3246964713473264, 48.841038935978396], [2.3235676009991093, 48.839622749736485], [2.3235636374496855, 48.83961467078824], [2.3235555709391926, 48.83960925504906], [2.32239822326188, 48.839449639548604], [2.3223407491059613, 48.83948959395469], [2.323526086304421, 48.8396869636532], [2.324647411983729, 48.84105745577486], [2.3246964713473264, 48.841038935978396]]], ""type"": ""Polygon""}";48.84000167403189, 2.3236340440569587
CP002813;;75020;10;1;STV;REAMENAGEMENT_SECTEUR;;rue des Orteaux(47-69);;2025-03-31;2025-07-04;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.4024024742373684, 48.856624201711675], [2.4047584693241597, 48.85628685767006], [2.4048821403675444, 48.856147837517526], [2.4022734918067634, 48.85651614582579], [2.4024024742373684, 48.856624201711675]]], ""type"": ""Polygon""}";48.85639388705224, 2.4035708634488637
CP002821;;75010;11;1;SAGP;REAMENAGEMENT_SECTEUR;;rue Louis Blanc- lycée Colbert-école Louis Blanc.;;2025-02-17;2025-04-25;BARRAGE_TOTAL;;1;4;;"{""coordinates"": [[[[2.3629455147578153, 48.88218702186742], [2.362268803929963, 48.88254557724224], [2.3623483223544555, 48.88270174479038], [2.363220682597934, 48.8822821203011], [2.3631560031786445, 48.882244183407636], [2.3630944101430678, 48.88228681941846], [2.3629455147578153, 48.88218702186742]]], [[[2.362940952742562, 48.882183964154684], [2.3629455147578153, 48.88218702186742], [2.363051531695803, 48.882130847252014], [2.362940952742562, 48.882183964154684]]]], ""type"": ""MultiPolygon""}";48.88242994986243, 2.36270223212541
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2025-12-31;RESTREINTE;Modification des files de circulation .;2;4;;"{""coordinates"": [[[2.2780879687731894, 48.85165200691028], [2.278005620021255, 48.85160986774178], [2.276937983388899, 48.852153100104196], [2.277031015931084, 48.852204823391524], [2.2772035373126718, 48.85224512825188], [2.2772770162585245, 48.85214682034601], [2.2773646538731667, 48.85206763380218], [2.2774974768795366, 48.85198039195424], [2.277631837054627, 48.851912196037745], [2.2778039222536837, 48.8518537456313], [2.2779865439626774, 48.85181558521849], [2.2779745338979853, 48.851771490754125], [2.2780323708879635, 48.85176113104939], [2.2781821795556927, 48.85174894738235], [2.2780879687731894, 48.85165200691028]]], ""type"": ""Polygon""}";48.851920958050805, 2.277550787213821
CP002663;;75005;12;2;CPCU;ENTRETIEN_RESEAU;;place Valhubert;angle quai d'Austerlitz, pont d'Austerlitz;2024-09-16;2025-09-15;RESTREINTE;Fermeture des couloirs de bus (sauf vélo) sur le pont d'Austerlitz.;2;2;;"{""coordinates"": [[[2.3652051804283865, 48.84434745466345], [2.3652070218504044, 48.844029252880986], [2.364975182189848, 48.84402399422843], [2.364986197794145, 48.844288558086085], [2.364986148726116, 48.84429258515942], [2.364990266276986, 48.8442885796817], [2.3652051804283865, 48.84434745466345]]], ""type"": ""Polygon""}";48.84417111487661, 2.3650970077303937
CP002666;;75015;13;3;S.N.C.F;REHABILITATION_IMMEUBLE;;Boulevard Vaugirard (1-17);;2024-10-30;2026-03-30;RESTREINTE;Réduction de voirie et suppression du couloir de bus. Circulation sur une voie pour tous les véhicules.;1;2;;"{""coordinates"": [[[2.319176513855834, 48.84165315782454], [2.319752173403109, 48.84180949672928], [2.319772793744469, 48.841788131722375], [2.319748490643204, 48.84177993700274], [2.319760975804965, 48.84175852573643], [2.3192056202719904, 48.84160498702553], [2.319176513855834, 48.84165315782454]]], ""type"": ""Polygon""}";48.84170643714342, 2.3194725247371406
CP002771;;75015;13;1;SAGP;REAMENAGEMENT_SECTEUR;;rue Auguste Dorchain et rue Joseph Liouville;Fermeture ponctuelle des deux rues pendant la phases de travaux rue de la Croix Nivert avec mise en sens unique de la rue Joseph Liouville.;2025-01-13;2025-12-31;SENS_UNIQUE;fermeture de la rue Dorchain  du 07/01 au 10/03/2025, mise en sens unique de circulation de la rue Liouville du 13/01/ au 31/10/2025? déviation mise en place depuis la rue mademoiselle.;1;2;;"{""coordinates"": [[[2.298346171742704, 48.84493106058378], [2.298371846651267, 48.844837223833856], [2.2982008360676294, 48.84484696189021], [2.2978120003892726, 48.845019228279526], [2.2976665192144314, 48.84494587011225], [2.2978085547530887, 48.84376515143133], [2.2976822598543243, 48.843777836703], [2.297576945187403, 48.84495071432874], [2.297790609981216, 48.84509697791158], [2.298346171742704, 48.84493106058378]]], ""type"": ""Polygon""}";48.84455472792496, 2.2978075906291853
CP002772;;75002;11;2;C.P.C.U;RACCORDEMENT_RESEAU;;rue de Richelieu-rue de Saint-Marc;Carrefour rue de Richelieu-rue Saint Marc.;2025-02-10;2025-04-28;RESTREINTE;Réduction de voirie avec renvoi des bus-taxis-cyclistes en circulation générale.;2;4;;"{""coordinates"": [[[2.3393732708439283, 48.87067873756187], [2.339389309371261, 48.870617736546954], [2.3393585395773338, 48.870556476284534], [2.3387648567195765, 48.87066799355238], [2.3387238302962015, 48.870693276710384], [2.3393246618063888, 48.87057978548017], [2.3393246447770406, 48.870581128102316], [2.3393732708439283, 48.87067873756187]]], ""type"": ""Polygon""}";48.87062082994452, 2.3391256144546655
CP002822;;75016;13;1;DVD SD;REAMENAGEMENT_VOIRIE;Mise en accessibilité du point d'arrêt de bus.;Rue de la Pompe;n°110;2025-07-21;2025-08-23;SENS_UNIQUE;Mises en sens unique de la rue de Pompe à partir de l'avenue George Mandel vers la rue de Longchamp.;2;2;;"{""coordinates"": [[[2.2797035041552243, 48.8658794212746], [2.2788475834367947, 48.86508210315555], [2.278839519008345, 48.86507668363494], [2.2787781733180084, 48.865097796780965], [2.279629985979199, 48.86589777522592], [2.2797035041552243, 48.8658794212746]]], ""type"": ""Polygon""}";48.865493006550935, 2.279243837327298
CP002645;;75010;11;3;SNCF;CREATION_ENTRETIEN_OUVRAGE_ART;"Création d'un passage piéton souterrain.
gare du nord-gare de l'est.";rue Lafayette et rue de l'Aqueduc;;2024-09-16;2027-02-02;RESTREINTE;"Itinéraire préconisé cyclable sur la rue de l'Aqueduc en BIDI provisoire.
Travaux impactant la circulation générale sens GDN boulevard de Stalingrad.";1;4;;"{""coordinates"": [[[2.3588276949569953, 48.879758300471934], [2.359736827877476, 48.879988726512586], [2.359744903028915, 48.87999414050632], [2.3597490073106195, 48.879991477052315], [2.3597862745284504, 48.87994065637803], [2.3588569856897044, 48.879694011228295], [2.3588276949569953, 48.879758300471934]]], ""type"": ""Polygon""}";48.87984282429404, 2.359292274047231
CP002819;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement de voirie phase 3.2;rue Mathis;entre la rue Archereau et l'avenue de Flandre;2025-06-23;2025-08-29;BARRAGE_TOTAL;;1;1;;"{""coordinates"": [[[2.374031037634998, 48.89124599980778], [2.374067895473107, 48.89122873935511], [2.3739943420687717, 48.891165252199876], [2.374010110943227, 48.89112371405899], [2.3740044641033697, 48.891085420226986], [2.3763081641679595, 48.8906704921493], [2.376479762078605, 48.89062305178349], [2.3763668754569722, 48.89052848214611], [2.376215669081004, 48.89057334320764], [2.3756646491633866, 48.89068056461132], [2.3744771227907915, 48.890891869706664], [2.373950558287916, 48.89099652650217], [2.373881755814435, 48.89096125871916], [2.3737395945833635, 48.89093097799989], [2.3737107048323276, 48.8909630495827], [2.373903991744631, 48.89114396954266], [2.374031037634998, 48.89124599980778]]], ""type"": ""Polygon""}";48.8908437131855, 2.3750524730500033
CP002682;;75015;13;3;MACON DE FRANCE;REHABILITATION_IMMEUBLE;;rue Paul Barruel Paris 15;Du n ° 10 au  16;2024-10-21;2026-10-31;RESTREINTE;fermeture du trottoir coté pair du 10 au 16 rue Paul Barruel et renvoie des piétons coté impair. Réduction de la voirie pendant toute la durée des travaux.;2;2;;"{""coordinates"": [[[2.304594709199898, 48.839767887546316], [2.304803116222228, 48.83939314897739], [2.3048163576920717, 48.83931535041076], [2.304743388636326, 48.83929612859435], [2.3044770276648134, 48.8397457201211], [2.304594709199898, 48.839767887546316]]], ""type"": ""Polygon""}";48.83954177580066, 2.304658267792856
CP002738;;75018;9;1;Mission Vélo;REAMENAGEMENT_VOIRIE;"Création d'un ilot.
Aménagement du Carrefour.";rue Caulaincourt, Joseph de Maistre, Damrémont.;Intersection;2025-02-17;2025-06-11;RESTREINTE;;2;2;;"{""coordinates"": [[[2.332545409026215, 48.8870902750317], [2.3329158405537482, 48.88678085255206], [2.3326511793895843, 48.88646251999389], [2.332427875508908, 48.886729798513386], [2.332545409026215, 48.8870902750317]]], ""type"": ""Polygon""}";48.886771772971606, 2.3326457490017605
CP002783;;75008;9;2;Fraicheur de Paris;ENTRETIEN_RESEAU;Réparation de fuites importantes.;2-4 rue Royale;;2025-03-03;2025-08-29;RESTREINTE;Emprise en milieu de chaussée avec réduction de voie de circulation sens Concorde -place de  la Madeleine.;1;2;;"{""coordinates"": [[[2.3227401244338863, 48.86769866392436], [2.3227769637920903, 48.867682760610066], [2.322797385056891, 48.86767750616755], [2.322237814475997, 48.86688755008263], [2.3221275044459158, 48.8669191489216], [2.3227401244338863, 48.86769866392436]]], ""type"": ""Polygon""}";48.867256934187296, 2.3224466821551357
CP002852;;75020;10;1;STV;REFECTION_CHAUSSEE;reprise du tapis de chaussée.;rue de Lagny, depuis Pyrénées jusqu'a rue Buzenval;;2025-04-22;2025-06-17;IMPASSE;;1;2;;"{""coordinates"": [[[2.4027808264184136, 48.84899821304536], [2.4064321080454025, 48.849043236062776], [2.406427718864181, 48.848892837155795], [2.404521972176756, 48.84884845797676], [2.404470577216848, 48.84889519514685], [2.4041146660382173, 48.848885367558566], [2.404119256862019, 48.848839740175855], [2.403081898963934, 48.84882248544749], [2.4030754740945657, 48.84885064900488], [2.4026462512675058, 48.84884716402714], [2.402636328310532, 48.84900286171149], [2.4027808264184136, 48.84899821304536]]], ""type"": ""Polygon""}";48.8489386607443, 2.404514366257307
CP002709;;;13;2;CPCU;RACCORDEMENT_RESEAU;;rue de Longchamp;n°128;2024-12-02;2025-05-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.2789492154385695, 48.866968398617416], [2.279063546272679, 48.86694223455877], [2.2789868852567485, 48.86689343719477], [2.278827859221192, 48.866913961857676], [2.2789245724998772, 48.86698436200805], [2.2789492154385695, 48.866968398617416]]], ""type"": ""Polygon""}";48.86693302802301, 2.2789452976637463
CP002745;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;Végétalisation du bd Sérurier;Boulevard Sérurier;entre rue de Périgueux et av. de la Porte Brunet;2025-09-17;2025-11-10;SENS_UNIQUE;Mise en sens unique du bd Sérurier vers la rue de Périgueux. Déviation : rue de la Solidarité - rue Alsace Lorraine - rue du Général Brunet;1;1;;"{""coordinates"": [[[2.394806151275585, 48.883313768186824], [2.3947551734121, 48.88349610504754], [2.394418977831794, 48.884396640347916], [2.394727154126815, 48.88450560772667], [2.3951145728488727, 48.88340125375631], [2.394806151275585, 48.883313768186824]]], ""type"": ""Polygon""}";48.88390999767281, 2.394768704415557
CP002800;;75009;11;2;RATP;TRAVAUX_OUVRAGE;service étanchéité des réseaux de la Régie Autonome des Transports Parisiens.;22 rue Auber;;2025-03-11;2025-07-07;RESTREINTE;Réduction de voirie en plusieurs phases de travaux.;2;2;;"{""coordinates"": [[[2.3274005078896387, 48.873606193625804], [2.3275622985262885, 48.87352922967811], [2.3276287339241293, 48.873585994165154], [2.3275751062184935, 48.87364074060836], [2.3277913120299503, 48.873605703458715], [2.3277066100217896, 48.87354480923001], [2.327701302387224, 48.87348301816154], [2.3281706472068935, 48.87323189555227], [2.328023201016923, 48.873143796861015], [2.3273260178965742, 48.87354267107689], [2.3274005078896387, 48.873606193625804]]], ""type"": ""Polygon""}";48.87339725879576, 2.327748762946844
CP002801;;75010;11;2;RTE;ENTRETIEN_RESEAU;;avenue Parmentier;Depuis la rue Jacques Louvel-Tessier jusqu'à la rue du FBG du Temple.;2025-03-24;2025-06-12;RESTREINTE;emprises sur chaussée avec réduction de la voie de circulation et déviations mise en place.;2;4;;"{""coordinates"": [[[2.370313274299596, 48.8713366943836], [2.370358859576197, 48.871269803131476], [2.370257392379611, 48.871245102342534], [2.3710778135018504, 48.87004910359019], [2.3712926612042535, 48.87012273426242], [2.3713379525097498, 48.87008000805545], [2.3709364892195426, 48.86995437645494], [2.3700051282083834, 48.87123571861532], [2.370313274299596, 48.8713366943836]]], ""type"": ""Polygon""}";48.87064279867974, 2.3705676498983737
CP002718;;75018;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;;Avenue de la porte de la Chapelle;depuis Bld Ney entrée du Bld périphérique;2024-12-04;2025-06-06;RESTREINTE;Réduction de voirie et fermeture de la bretelle périphérique.;1;4;;"{""coordinates"": [[[2.358535179676227, 48.89972124205038], [2.358633020957345, 48.89971370998101], [2.358688044287344, 48.89921455892632], [2.3589062352406565, 48.89902507842694], [2.3589179517509837, 48.89873513959908], [2.3578674145381977, 48.898716085668354], [2.3578625152005332, 48.898783188860975], [2.3585709957556604, 48.89879772686938], [2.358535179676227, 48.89972124205038]]], ""type"": ""Polygon""}";48.89902800680006, 2.35859953395192
CP002733;;75002;11;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Création d'une piste cyclable.;rue du 4 Septembre- rue Réaumur.;depuis la place de l'opéra jusqu'a la rue du Temple.;2025-01-07;2025-08-28;RESTREINTE;maintient de la voie bus et d'une voie de circulation . chantier en plusieurs phases de travaux.;2;2;;"{""coordinates"": [[[2.3596320457356166, 48.864783573404466], [2.359422262741614, 48.86463207505648], [2.348599555703916, 48.86693670489985], [2.332928420006141, 48.87015865023752], [2.332843851751072, 48.87040522361975], [2.3382142399326775, 48.86933944508775], [2.340972615172143, 48.86880686894758], [2.3596320457356166, 48.864783573404466]]], ""type"": ""Polygon""}";48.867684260653455, 2.345492119664006
CP002845;;75012;14;1;Se.Seine et Ouvrage d'Art;CREATION_ENTRETIEN_OUVRAGE_ART;;Boulevard de la Bastille;A l'intersection de la rue Jules César;2025-04-14;2026-01-30;RESTREINTE;Réduction du boulevard de Bastille à une voie de circulation. Itinéraire cyclable maintenu. Déviation du cheminement piéton. Fermeture de la passerelle Mornay.;1;2;;"{""coordinates"": [[[2.367918485203844, 48.848892287499794], [2.3680952154513246, 48.84930004642415], [2.368213499007915, 48.84927650359929], [2.3680723602336755, 48.84897016973434], [2.367918485203844, 48.848892287499794]]], ""type"": ""Polygon""}";48.849111388744525, 2.3680726230268947
CP002724;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abord de Gare du Nord;rue de Compiègne;du n°1 à 3;2025-03-10;2025-06-06;BARRAGE_TOTAL;Barrage totale de la rue de Compiègne, accès au parking conservé;2;2;;"{""coordinates"": [[[2.353215621972441, 48.87959678549954], [2.353290385598802, 48.8796414959018], [2.3535646357611113, 48.8801786831209], [2.3537302614708904, 48.880119159308585], [2.3536075093515216, 48.879840574225696], [2.353358238471484, 48.87942301527593], [2.3532136210663364, 48.87959408928294], [2.353215621972441, 48.87959678549954]]], ""type"": ""Polygon""}";48.87981689595886, 2.3534805764754285
CP002850;;75017;9;3;SNCF;TRAVAUX_OUVRAGE;travaux sur Viaduc des Souverains, ouvrage des voies gare St Lazare et RER C;Bd Berthier 75017;Bd Berthier fermé sens Porte d'Asniére à ported e Clichy;2025-04-30;2025-05-12;BARRAGE_TOTAL;barrage totale de la voie suivre déviations;1;2;;"{""coordinates"": [[[2.304125061064982, 48.89004200743499], [2.30412504312166, 48.890043350028286], [2.3056867103963787, 48.890805622482056], [2.308743920174719, 48.892259907514045], [2.3104597469523642, 48.89307671021729], [2.3120684130758336, 48.8936861099159], [2.312201801660372, 48.893607662689114], [2.3105282331425787, 48.89297909426407], [2.3056604986857776, 48.890633616133435], [2.304861330977321, 48.89025304677083], [2.3047642346853663, 48.89020549135423], [2.3046550134492074, 48.890151152859204], [2.3046060082609854, 48.890161608954664], [2.304573433298305, 48.89016141977352], [2.3043125070922255, 48.890032355941884], [2.304125061064982, 48.89004200743499]]], ""type"": ""Polygon""}";48.89185338602244, 2.308073511773298
CP002781;;75011;10;2;C.P.C.U;ENTRETIEN_RESEAU;Fouille ouverte en demi chaussée avec emprise fermée.;Rue de la Roquette;Place Léon Blum et angle rue de la Roquette.;2025-03-03;2025-09-19;RESTREINTE;Réduction de voirie avec emprise fermée tout le temps des travaux et pont lourd pour maintenir une voie de circulation.;2;2;;"{""coordinates"": [[[2.379885137180349, 48.85767649891591], [2.379930634301542, 48.857614973767774], [2.3796346314213683, 48.85752482414987], [2.379265300034337, 48.8581244142124], [2.37934245646489, 48.85813824077443], [2.37966533065711, 48.85768073055818], [2.379876934191104, 48.85768182731169], [2.379885137180349, 48.85767649891591]]], ""type"": ""Polygon""}";48.85777126420103, 2.3795801905684626
CP002804;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;;61 - 59 Bld Haussmann;;2024-09-02;2026-09-14;RESTREINTE;2 phases sur trottoir et voie de circulation.;2;2;;"{""coordinates"": [[[2.325710773428512, 48.87382795153473], [2.3257157047943107, 48.87384006284122], [2.3261815878128833, 48.87377891136784], [2.3261758377120256, 48.873751354708254], [2.325701788674171, 48.87381447468071], [2.325710773428512, 48.87382795153473]]], ""type"": ""Polygon""}";48.87379594480869, 2.325945345329151
CP002820;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;aménagement de voirie phase 3;rue Archereau;entre rue du Docteur Lamaze et Mathis;2025-04-11;2025-07-11;;;;2;;"{""coordinates"": [[[2.373502198318955, 48.89103177407204], [2.3737517463933973, 48.89093641139979], [2.372856196499795, 48.89023356941191], [2.3729872060879775, 48.890175180836685], [2.3728610475206517, 48.88983081276281], [2.3726989839932005, 48.889762833949874], [2.3727614513303403, 48.88964769629589], [2.3721551692270713, 48.88994794843204], [2.3735189377984356, 48.890994269126686], [2.3735187439682157, 48.891010378552174], [2.373502198318955, 48.89103177407204]]], ""type"": ""Polygon""}";48.89027600900089, 2.3728702172107776
CP002848;;75019;10;1;SAGP;REAMENAGEMENT_SECTEUR;Aménagement de la place,verdure,pieton,cyclable.;place du colonel Fabien;;2025-01-01;2026-05-01;RESTREINTE;;1;2;;"{""coordinates"": [[[[2.370174616038828, 48.878711012628216], [2.370509011114133, 48.87868943646983], [2.370519170498057, 48.87849800600481], [2.370511094458657, 48.87849259273053], [2.3706380708880164, 48.87842881422708], [2.370747076806335, 48.87850457406885], [2.370829112185025, 48.878453986155826], [2.3707526402789445, 48.878381081901594], [2.3709230181103518, 48.878094656988516], [2.3712727565875364, 48.878126031957116], [2.371286331359231, 48.87801332252609], [2.3708961108618225, 48.87796293792089], [2.3707645296689694, 48.877734001266006], [2.3711102100540145, 48.877427013978995], [2.3708028373351513, 48.87725891439739], [2.370526555328527, 48.87755015333888], [2.3703682146197367, 48.87751441215514], [2.3703699999552126, 48.87736673315346], [2.3702153413536475, 48.87736323421283], [2.3702136529809277, 48.877502858403716], [2.3701315873909397, 48.87755613118176], [2.3700579547323914, 48.877585281415655], [2.3699126395887116, 48.877482477493984], [2.369765504116598, 48.87753003760601], [2.369910495623961, 48.87765969226684], [2.3698443212657003, 48.8777452724612], [2.369715558340359, 48.87795672819574], [2.369692247000704, 48.87820096298348], [2.36986866957003, 48.87842476686463], [2.3699096057549323, 48.878406185396166], [2.369688347445961, 48.878523172158665], [2.369785172542189, 48.87859618333771], [2.369990017753141, 48.87848985164739], [2.370030499237653, 48.878508861610555], [2.370019693617849, 48.87872899440455], [2.370174616038828, 48.878711012628216]]], [[[2.370509011114133, 48.87868943646983], [2.3705086279484457, 48.878696657885804], [2.3705209374596485, 48.87868866729918], [2.370509011114133, 48.87868943646983]]]], ""type"": ""MultiPolygon""}";48.87801383776766, 2.370362507056921
CP002855;;75015;13;2;CPCU;ENTRETIEN_RESEAU;;185 rue de Vaugirard;du 185 Vaugirard au CF Bd Pasteur;2025-07-25;2025-09-15;RESTREINTE;restriction de larguer de voie.;2;1;;"{""coordinates"": [[[2.3119664756795135, 48.842734385924715], [2.312304779737818, 48.84284105967237], [2.312331736349857, 48.842802277474306], [2.3119893109792145, 48.84269960835695], [2.3119664756795135, 48.842734385924715]]], ""type"": ""Polygon""}";48.842770357224325, 2.312151447972352
CP002649;;75012;14;1;Fayolle;REAMENAGEMENT_VOIRIE;;;Place Félix Eboué.;2024-08-01;2025-08-29;RESTREINTE;Plusieurs voies réduites pour la circulation et création de voies cyclables provisoires le temps des travaux.;1;2;;"{""coordinates"": [[[2.395466747299581, 48.84010052209265], [2.3966265139160634, 48.83971969025336], [2.397375254949208, 48.839701981542916], [2.397361093570681, 48.83951930757824], [2.3970034932857303, 48.8394852813882], [2.3967946992897926, 48.839247919781215], [2.397661800578051, 48.83884411943166], [2.397501075133948, 48.83867144831366], [2.3958502085414652, 48.839307601531864], [2.3962517692855934, 48.83976076461167], [2.3960725330410964, 48.83978134197787], [2.395403031195249, 48.83998204567209], [2.395466747299581, 48.84010052209265]]], ""type"": ""Polygon""}";48.839379679853586, 2.39662252961462
CP002753;;75013;14;1;mission vélo;REAMENAGEMENT_VOIRIE;;rue Nationale;depuis bd Vincent Auriol jusqu'à la rue du docteur Charles Richet.;2025-01-13;2026-03-06;BARRAGE_TOTAL;Barrage de la demi-chaussée depuis Bd Vincent Auriol jusqu'à la rue docteur Charles Richet.;1;4;;"{""coordinates"": [[[[2.362181321507285, 48.832697443941726], [2.363463995020297, 48.83174527921968], [2.3633974180464983, 48.83170765586998], [2.362239708966034, 48.83257959971659], [2.3620922674246643, 48.83266205997811], [2.362181321507285, 48.832697443941726]]], [[[2.363463995020297, 48.83174527921968], [2.363474170507373, 48.83175102998489], [2.3634743344430533, 48.83173760416015], [2.363463995020297, 48.83174527921968]]]], ""type"": ""MultiPolygon""}";48.83219893646782, 2.362797787744104
CP002817;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;travaux d'aménagement phase 3.1;rue Mathis;entre Avenue de Flandre et rue Archereau. Mise en impasse depuis Archereau pour les riverains;2025-03-31;2025-08-29;IMPASSE;la totalité des dates de chantier;1;2;;"{""coordinates"": [[[2.3765076871868485, 48.89067377051698], [2.376536254911657, 48.890668548516146], [2.376542363078777, 48.89066858031902], [2.376203639488672, 48.89039023986581], [2.37616327519021, 48.89036049226962], [2.376036419871531, 48.89041219250644], [2.375944731441835, 48.89058759677644], [2.375699856760973, 48.89063331167698], [2.3757771986274916, 48.890805567971164], [2.3762261019470725, 48.890724666082775], [2.3765076871868485, 48.89067377051698]]], ""type"": ""Polygon""}";48.89061060544907, 2.3761055536200266
CP002849;;75011;10;1;;REAMENAGEMENT_VOIRIE;;Boulevard de Belleville;Entre la Rue du Faubourg du Temple et la Rue Morillon;2025-04-18;2025-05-31;;Mises en unique du Boulevard de Belleville de la Rue du Faubourg du Temple jusqu'à la Rue de Morillon .;1;2;;"{""coordinates"": [[[[2.3780728292087994, 48.87075793292195], [2.378076333191811, 48.87076749849293], [2.3769855616889495, 48.871776853725], [2.3770787620220553, 48.871812247431095], [2.378190045521416, 48.87078957174124], [2.3780728292087994, 48.87075793292195]]], [[[2.3780683203146826, 48.87075671607356], [2.3780728292087994, 48.87075793292195], [2.3780723908701673, 48.87075673722377], [2.3780683203146826, 48.87075671607356]]]], ""type"": ""MultiPolygon""}";48.871280864084774, 2.3775888873436943
CP002856;;75007;12;1;Mission vélo;REAMENAGEMENT_SECTEUR;;Bd des Invalides;;2025-04-22;2025-07-30;RESTREINTE;travaux sur la place Léon-Paul Fargue;1;2;;"{""coordinates"": [[[2.3163124779770916, 48.84754667683737], [2.316689046787263, 48.847065467809394], [2.3169624061801914, 48.847007951468434], [2.3172862615751084, 48.847133325581474], [2.3173809965396512, 48.84704525018901], [2.3170976142958915, 48.84693621942733], [2.3170468708556893, 48.84677212439539], [2.3171826763355994, 48.84665474491351], [2.3169767712694873, 48.84653272939501], [2.3166285998186766, 48.84671065863581], [2.3164573386030476, 48.84673921893303], [2.3163235743841786, 48.846700860349195], [2.3162493563301196, 48.846775625613915], [2.316455824174467, 48.846854679435104], [2.3160692862306878, 48.84747546848791], [2.3163124779770916, 48.84754667683737]]], ""type"": ""Polygon""}";48.846989259397546, 2.31666030811073
