Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2025-07-18;RESTREINTE;Réduction de la circulation selon les phases;2;4;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé SEG11 BEC Bruneseau - 13ème.pdf;"{""coordinates"": [[[2.386040410939928, 48.82726045950963], [2.389009733862189, 48.82510049591564], [2.381913601308459, 48.82268480304111], [2.3797250134650096, 48.824789551026136], [2.382560534273686, 48.82574947645586], [2.386040410939928, 48.82726045950963]]], ""type"": ""Polygon""}";48.824945580960076, 2.384284439827768
CP002794;;75013;14;1;Mission vélo;REAMENAGEMENT_VOIRIE;mise en sens unique de la rue Vergniaud avec végétalisation et élargissement de trottoir.;Rue Vergniaud.;Depuis le Bld Auguste Blanqui jusqu'à la rue Brillat-Savarin en deux phases.;2025-02-17;2025-05-16;SENS_UNIQUE;Mise en sens unique de la rue Vergniaud depuis le rue de la Colonie jusqu'à la rue Brillat-savarin et depuis la rue Tolbiac jusqu'au Bld Auguste Blanqui. Après travaux en définitif.;1;2;;"{""coordinates"": [[[2.345813189056507, 48.83026100492462], [2.345976346357521, 48.83022430167053], [2.3457371000054876, 48.82789746384644], [2.345289343701507, 48.82598302611419], [2.3442298101386583, 48.82291588710814], [2.3440501383525225, 48.82297398007963], [2.3451114164534395, 48.82590149112855], [2.345541750688054, 48.827907136213405], [2.345813256452754, 48.83025563423771], [2.345813189056507, 48.83026100492462]]], ""type"": ""Polygon""}";48.82659536047394, 2.34522171199309
CP002818;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;aménagement de voirie phase 2;rue Archereau;carrefour Archereau / Mathis;2025-02-27;2025-06-23;IMPASSE;Fermeture du carrefour Mathis Archereau, Rue Mathis en impasse à partir de Curial vers archereau et rue Archereau de crimé vers Mathis;1;2;;"{""coordinates"": [[[2.3739021692503446, 48.89129791297049], [2.3740330834967693, 48.891247578918225], [2.373885863884974, 48.89113000273158], [2.3738017751206457, 48.891011413816926], [2.373763252651091, 48.890997786394344], [2.3737148096055356, 48.89096262498814], [2.3735553921715833, 48.89101280959242], [2.373502264634053, 48.89102864298273], [2.3734815337558826, 48.89105941450841], [2.373456956882619, 48.891071369195735], [2.3734628873922845, 48.891086168877266], [2.373551629141825, 48.89115644925815], [2.373625083863574, 48.89114340755104], [2.373690266430816, 48.89114106312422], [2.3737287889871688, 48.89115469056853], [2.373744914742154, 48.89116820086929], [2.3739021692503446, 48.89129791297049]]], ""type"": ""Polygon""}";48.891115744343594, 2.373739468617466
CP000753;;75013;14;2;SNCF;TRAVAUX_OUVRAGE;Couverture des voies SNCF;Av de France;côté voies SNCF entre rue Julie Daubié et rue Nicole Rein-Lepaute.;2018-07-23;2025-07-18;RESTREINTE;Les deux sens de circulations sont reportés côté pair de l'avenue.;2;4;;"{""coordinates"": [[[2.379871709032515, 48.82714237090668], [2.3811746477660307, 48.82571180087148], [2.3804182115733226, 48.82548285012793], [2.3786689133943018, 48.82665533943943], [2.379871709032515, 48.82714237090668]]], ""type"": ""Polygon""}";48.82630766425324, 2.3799694728731717
CP002429;662837;75015;13;3;SCCV Porte de Brancion;CONSTRUCTION_IMMEUBLE;Construction neuve, résidence sociale et commerces;Avenue de la Porte de Brancion;Carrefour au-dessus du périphérique;2022-11-14;2025-06-27;RESTREINTE;restriction à 2 files de circulation, maintien de la piste vélos et cheminement piétons.;2;4;;"{""coordinates"": [[[2.299950868215911, 48.82590374090183], [2.30015215168723, 48.82580973482902], [2.300165534628195, 48.8256182539662], [2.300055510377768, 48.82562593831275], [2.2997950850984825, 48.82569580213723], [2.299950868215911, 48.82590374090183]]], ""type"": ""Polygon""}";48.82574599992238, 2.300005595088704
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;2;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
CP002700;;75007;12;3;Musée d'Orsay;REHABILITATION_IMMEUBLE;Deux chantiers de réhabilitation de bâtiments publics pour le musée d'Orsay et le conseil d'état.;Quai Voltaire;aux n°29-31;2024-10-01;2026-08-01;RESTREINTE;Réduction du quai Voltaire à une voie de circulation dans le sens Est/Ouest;1;2;;"{""coordinates"": [[[2.3296417394036775, 48.85934551403987], [2.3296896728372563, 48.8594156009651], [2.3301842120362175, 48.859251881289445], [2.3300244401126555, 48.85901736512524], [2.329987574561423, 48.8590359560642], [2.330091444456793, 48.85918691450391], [2.3296376697601486, 48.859345491242436], [2.3296417394036775, 48.85934551403987]]], ""type"": ""Polygon""}";48.85926763703709, 2.329935695831666
CP002823;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;;Place Rhin et Danube;;2025-01-13;2025-09-01;RESTREINTE;"Travaux par phase. 
Circualtion restreinte sur rue David D'Angers et rue du Général Brunet";2;2;;"{""coordinates"": [[[2.3929671324764668, 48.88223500825896], [2.3930239736931456, 48.88224872249314], [2.3931906110451946, 48.88227373479838], [2.3934721510050743, 48.88222145634142], [2.3934961656662073, 48.8819074063048], [2.393370991577065, 48.881818159643906], [2.392903368290361, 48.881767454979915], [2.3927237669637385, 48.881806823170734], [2.392567559057823, 48.88193492136706], [2.3925699392792303, 48.88207993550759], [2.392690884608916, 48.88218258758604], [2.3929671324764668, 48.88223500825896]]], ""type"": ""Polygon""}";48.88201739861115, 2.3930498430798743
CP002851;;75017;9;3;SNCF;TRAVAUX_OUVRAGE;Travaux sur Viaduc des Souverains;Bd Berthier;Bd Berthier entre Porte d'Asnier vers la porte de Clichy. fermeture d'un sens de circulation;2025-07-28;2025-08-13;BARRAGE_TOTAL;suivre déviations;1;1;;"{""coordinates"": [[[2.3041351873139173, 48.890046094375535], [2.304122989162591, 48.89004468078932], [2.306682181880515, 48.89127727803201], [2.309891132479896, 48.89280894030571], [2.3103241342992775, 48.89301551166929], [2.3120501067406822, 48.893684662058256], [2.312201748463406, 48.89361168956025], [2.311734122433753, 48.89340492617118], [2.3116249213506928, 48.89334790900361], [2.3104539138187623, 48.892902137328186], [2.304328722110522, 48.89003782003918], [2.3041351873139173, 48.890046094375535]]], ""type"": ""Polygon""}";48.89202543674452, 2.3084514422148934
CP002664;;75005;12;2;ESPCI;REHABILITATION_IMMEUBLE;;rue Rataud, rue Pierre Brossolette.;;2024-09-05;2026-12-31;IMPASSE;mise en impasse des deux rues durant toute la durée des travaux.;2;2;;"{""coordinates"": [[[2.3472545526588617, 48.84261609261237], [2.3472753301867515, 48.8425812972096], [2.346433948323191, 48.8421953851312], [2.347801285985655, 48.84184032679391], [2.3477773158274644, 48.84180528731196], [2.346271629563287, 48.84216227402575], [2.346283765764437, 48.8421677113442], [2.3472545526588617, 48.84261609261237]]], ""type"": ""Polygon""}";48.84213805283548, 2.34694153763722
CP002734;;75018;9;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Création d'une piste cyclable.;rue Damrémont.;Depuis la rue joseph de Maistre jusqu'à la rue Lamarck.;2025-01-13;2025-06-11;RESTREINTE;chaussée rétrécie avec fermeture de voie ponctuelle. rue Tourlaque, Steinlein, Félix Ziem.;1;2;;"{""coordinates"": [[[2.3342033462461593, 48.89053928247324], [2.334301620054392, 48.890496865390595], [2.3327877659151124, 48.8878783991671], [2.3326534386366733, 48.88692170724504], [2.332537232344161, 48.887092914845084], [2.3326407750285876, 48.887909802003236], [2.3341873339462973, 48.890517712158186], [2.3342033462461593, 48.89053928247324]]], ""type"": ""Polygon""}";48.888721740931054, 2.3332492276671832
CP002803;;75010;11;1;STV CENTRE;REAMENAGEMENT_VOIRIE;Elargissement du trottoir.;Rue Paradis;Angle Paradis Hauteville jusqu'à la Rue Faubourg Poissonnières;2025-04-01;2025-06-30;IMPASSE;circulation restreinte juste accès parking autorisé.;1;2;;"{""coordinates"": [[[2.35067852980511, 48.87539998245188], [2.350662279654588, 48.87539720888842], [2.350654540914875, 48.87536494369954], [2.348402431334144, 48.87576086523615], [2.348434525820981, 48.87579863307086], [2.348446772213064, 48.87579601520915], [2.35067852980511, 48.87539998245188]]], ""type"": ""Polygon""}";48.87558453457416, 2.3495223532053413
CP002807;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;Création d'une base vie.;Oreille rue de Provence, rue de rome, Bld Haussamnn;;2025-03-24;2026-09-14;;"base vie stationnée entre les balisées pour maintenir une giration bus et pompier.
R + 5 la base vie.";2;2;;"{""coordinates"": [[[2.326057145562662, 48.874104342812146], [2.3260419568159576, 48.87401967082219], [2.326107710656712, 48.87397170690998], [2.325926484779523, 48.87397739919874], [2.325876475252415, 48.874067074010576], [2.325979265972518, 48.874145525746336], [2.326057145562662, 48.874104342812146]]], ""type"": ""Polygon""}";48.87404821223789, 2.3259813854514197
CP002844;;75012;14;2;CPCU-FraicheurdeParis-;RACCORDEMENT_RESEAU;rue Van gogh fermé à la circulation entre rue de bercy et le quai de la Rapée, suivre déviation;rue van Gogh;déviations par Diderot et Villot;2025-06-16;2025-08-18;BARRAGE_TOTAL;déviations vélo et circulation par Diderot et Villot.;1;1;;"{""coordinates"": [[[2.372107267779699, 48.844486252602934], [2.3722080727010515, 48.84439279500569], [2.3721652753773537, 48.84439928322906], [2.372132809651873, 48.8443924000268], [2.3711069598810663, 48.843766700903885], [2.371045467423397, 48.84380531540824], [2.3720935470183835, 48.844443214605], [2.3721076074594842, 48.84445805857741], [2.3721135484577496, 48.84447151629123], [2.372107267779699, 48.844486252602934]]], ""type"": ""Polygon""}";48.84411765294246, 2.371620911674914
CP002699;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Réduction de la voirie par GBA et K8 pour la gestion des flux VL PL de la base vie au 79 et report d;81 - 83 Boulevard de Strasbourg;en face du terminus pour la gestion des VL PL;2024-11-17;2025-11-14;RESTREINTE;;2;2;;"{""coordinates"": [[[2.357801294574197, 48.8756825415542], [2.357771889654093, 48.87559108509271], [2.3577739664994275, 48.875587739915886], [2.357703615375249, 48.875598103224895], [2.357714329620317, 48.87563709653034], [2.357801294574197, 48.8756825415542]]], ""type"": ""Polygon""}";48.875627858833006, 2.357752906252346
CP002723;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abords de Gare du Nord;rue de Dunkerque;du n°25 au 31;2025-03-10;2025-06-06;RESTREINTE;"Circulation restreinte
Reduction de la largeur de la voie et du trottoir impair. Contresens cyclable maintenu.";2;2;;"{""coordinates"": [[[2.3545565871009146, 48.87980273103191], [2.3536756032230848, 48.880094697390184], [2.3534444064216147, 48.88018877548703], [2.3525703331922796, 48.88041498218547], [2.352594142113285, 48.88046478822619], [2.353559347963645, 48.88027666644886], [2.3546237479613463, 48.87996823564009], [2.3545565871009146, 48.87980273103191]]], ""type"": ""Polygon""}";48.88013085922085, 2.353775419687256
CP002842;;75016;12;1;STV;REAMENAGEMENT_VOIRIE;changement de plan de circulation place du Trocadéro. ouverture au SUD, sens giratoire;;place du Trocadéro;2025-04-24;2025-05-13;RESTREINTE;;1;2;;"{""coordinates"": [[[2.2868037221036968, 48.862503469697685], [2.2866847467967695, 48.862572578270715], [2.286577813993233, 48.86265384221547], [2.286480431751918, 48.862780814141814], [2.2864332751272767, 48.86295507752333], [2.286476092262008, 48.863097654430675], [2.2865921996724214, 48.86323798185085], [2.2868102358774784, 48.86336549107254], [2.2869924167218407, 48.86343639419649], [2.2872059832951814, 48.863444380040896], [2.2874035483433643, 48.86343213013888], [2.287601772857904, 48.863371548163805], [2.287823683263704, 48.863215778189925], [2.2877253888882123, 48.8631118090889], [2.287732044424997, 48.86307156941192], [2.287765740362646, 48.86298852590528], [2.2871123702353198, 48.86255230074395], [2.28695239148518, 48.86249495645264], [2.286850576666449, 48.862499720713366], [2.2868037221036968, 48.862503469697685]]], ""type"": ""Polygon""}";48.86300699822477, 2.287080525779645
CP002704;;75010;11;1;Eau de PARIS;INSPECTION_ENTRETIEN_RESEAU;;148 quai de Jemmapes;;2024-09-20;2025-04-25;IMPASSE;Quai Jemmapes fermé depuis le pont Maria Casarès jusqu'au 150 quai Jemmapes.;2;4;;"{""coordinates"": [[[2.3659513959409657, 48.87757496031595], [2.366045417611009, 48.877543235162435], [2.365932839806638, 48.877427173583136], [2.3656792383725844, 48.877525183896154], [2.3657193264900496, 48.87757641635876], [2.3658500833819294, 48.87753683066461], [2.3658502141645816, 48.87752608972539], [2.3659513959409657, 48.87757496031595]]], ""type"": ""Polygon""}";48.877511959501966, 2.3658727041610015
CP002770;;75015;13;1;SAGP;REAMENAGEMENT_SECTEUR;Création d'un  contre sens cyclable avec végétalisation.;rue de la Croix Nivert;Depuis la place de Cambronne jusqu'à la rue de Javel.;2025-01-07;2025-12-31;SENS_UNIQUE;Fermeture du sens de circulation depuis la place Cambronne vers rue de Javel, l'interdiction sera définitive après les travaux.;1;2;;"{""coordinates"": [[[2.30107716544652, 48.84767996532617], [2.30125718630457, 48.84760582737718], [2.297951429311868, 48.84533078821131], [2.297791736577201, 48.84510428197808], [2.29836476538674, 48.84484985077138], [2.297646436128524, 48.84501749822138], [2.29642070422552, 48.84419395092224], [2.295362817930295, 48.84299542895726], [2.2949924756104707, 48.84270322963651], [2.2915181612710294, 48.84089962825697], [2.2913692335794273, 48.841081350557815], [2.294215911883107, 48.84236566668603], [2.294845297369228, 48.84275606883295], [2.295889506520134, 48.84376116932343], [2.296886384465611, 48.84465856828866], [2.297643830636183, 48.84521082767744], [2.30107716544652, 48.84767996532617]]], ""type"": ""Polygon""}";48.84409559011973, 2.296293191211883
CP002825;;75011;10;1;SAGP;REAMENAGEMENT_VOIRIE;;Avenue Parmentier;entre Place Léon Blum et  rue du Chemin Vert;2025-03-10;2025-05-20;RESTREINTE;Modification des voies de circulation;2;2;;"{""coordinates"": [[[[2.380160938635126, 48.85797363692476], [2.38016633069113, 48.857992182419075], [2.380186166042786, 48.85803524968545], [2.3796397248366437, 48.858812731302], [2.378524594821116, 48.86018181206249], [2.378824200413153, 48.860312260940724], [2.380537193278855, 48.85794734663457], [2.380164897685785, 48.85797171933779], [2.380166554299386, 48.8579733863154], [2.380160938635126, 48.85797363692476]]], [[[2.380160464605071, 48.85797200934845], [2.3800810469403726, 48.857977208086226], [2.380160938635126, 48.85797363692476], [2.380160464605071, 48.85797200934845]]], [[[2.380160464605071, 48.85797200934845], [2.380164897685785, 48.85797171933779], [2.380158511011336, 48.85796528919756], [2.380160464605071, 48.85797200934845]]]], ""type"": ""MultiPolygon""}";48.859174565555904, 2.3794904826425918
CP002832;;75019;10;1;Mission vélo;REAMENAGEMENT_VOIRIE;Mise en sens unique définitive de se tronçon après travaux.;du 31 au 71 rue Manin;Fermeture de la rue de 21h à 5h00. et mise en sens unique définitive depuis l'hôtel de ville jusqu'à l'avenue Mathurin Moreau.;2025-04-28;2025-05-12;BARRAGE_TOTAL;Mise en place de déviation sauf pour les riverains.;1;3;;"{""coordinates"": [[[2.38189913469303, 48.88238487160709], [2.3821786538279235, 48.882160754915304], [2.3812878386865353, 48.8817479991752], [2.3807874828136697, 48.88136947964955], [2.3801267184522565, 48.8807860499286], [2.379628684552142, 48.88021420023068], [2.378730350313763, 48.879071000789224], [2.3784207000498627, 48.87909087575838], [2.3786305965417234, 48.87924233881835], [2.378868962344593, 48.879737659650345], [2.379238631526712, 48.88014773242574], [2.3796238227902053, 48.88062233113777], [2.3807362023374594, 48.88157329179351], [2.381252844159382, 48.88195189562458], [2.38189913469303, 48.88238487160709]]], ""type"": ""Polygon""}";48.88079187528086, 2.3801539028975123
CP002816;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement de voirie Rue Archereau phase 2.1;Rue Archereau;entre Rue Riquet et rue Mathis;2025-06-02;2025-06-20;BARRAGE_TOTAL;;1;1;;"{""coordinates"": [[[2.371628168348606, 48.88924792492417], [2.371374878006103, 48.88931641077143], [2.3713624026557807, 48.88933782739901], [2.3714061547216096, 48.88942398377517], [2.37151641631613, 48.88939771057915], [2.3717747746696904, 48.88958434568033], [2.3717333767861386, 48.8896405186957], [2.3735002124100424, 48.89102997493206], [2.3737209339545258, 48.89096131433282], [2.373745688337535, 48.89093459186625], [2.3722089014927943, 48.88971551343426], [2.3721843411499046, 48.88972612527163], [2.3719343513827407, 48.88952073824459], [2.371832135245128, 48.88955510926165], [2.3715819856616207, 48.88936314660556], [2.371553905632511, 48.88932809112366], [2.371570840404967, 48.889274476045635], [2.3716036081079155, 48.88925853664694], [2.371628168348606, 48.88924792492417]]], ""type"": ""Polygon""}";48.89021633089549, 2.3726474953611514
CP002860;;75006;11;2;ENEDIS;CREATION_RESEAUX;pose de fourreaux avec raccordement.;boulevard du Montparnasse;du 33 au 47;2025-08-04;2025-09-12;RESTREINTE;3 nuits il y aura la fermeture du BD du Montparnasse du 11 au 14/08 sens avenue du Maine-rue d'Alençon.;2;1;;"{""coordinates"": [[[2.3208495840298977, 48.84504322860375], [2.3216178292635576, 48.844785766483376], [2.3216208799596365, 48.84478578378237], [2.321618004022677, 48.844772340874485], [2.3213902190005977, 48.84484623849709], [2.3208498377299374, 48.84502376062255], [2.320689907778157, 48.84480802611441], [2.320794233991811, 48.84476363858387], [2.3207831950159292, 48.84475216388405], [2.3206514333576034, 48.84479438103891], [2.3208495840298977, 48.84504322860375]]], ""type"": ""Polygon""}";48.844894958541786, 2.321037990011396
CP002756;;75013;14;1;Mission vélo;REAMENAGEMENT_SECTEUR;;Place Nationale.;;2025-01-13;2026-03-06;RESTREINTE;Dépose des bordures pour une Giration optimal et renvoie des vélos dans la circulation générale rue du Château des Rentiers jusqu'à la rue Clisson.;2;4;;"{""coordinates"": [[[2.3653195531326756, 48.829182891520944], [2.3654069385954037, 48.82902088995605], [2.3651556153347357, 48.82895107972939], [2.365053896917337, 48.82912106070628], [2.3653195531326756, 48.829182891520944]]], ""type"": ""Polygon""}";48.829069102306285, 2.365232422484482
CP002769;;75010;11;1;STV;REAMENAGEMENT_SECTEUR;;rue du Buisson Saint Louis.;place du Buisson Saint Louis.;2025-01-06;2025-05-07;BARRAGE_TOTAL;Barrage du tronçon de la rue du Buisson Saint Louis depuis le passage Buisson  Saint Louis à la rue de Saint-Maur.;1;2;;"{""coordinates"": [[[2.372829982831537, 48.87206932759333], [2.3729205015760706, 48.87198924464825], [2.372216846258896, 48.871604249077514], [2.3719781754106872, 48.871817818127376], [2.3720187495576504, 48.871828771782184], [2.372829982831537, 48.87206932759333]]], ""type"": ""Polygon""}";48.871845951977335, 2.3724280563195097
CP002792;;75010;11;1;Délégation au Territoire;REAMENAGEMENT_SECTEUR;Fermeture du 43 au 41 rue de l'Aqueduc.;rue de l'Aqueduc.;Fermeture définitive depuis le 43 au 41 rue de l'Aqueduc avec pose de barrières devant l'entrée de l'école a partir du 03/03/2025;2025-02-24;2026-03-30;BARRAGE_TOTAL;Fermeture de l'entrée de l'école aux voitures.;1;4;;"{""coordinates"": [[[2.3645008760264465, 48.88271094337719], [2.3645688705071453, 48.88264417297474], [2.3642956189454725, 48.882515174174415], [2.364227722630425, 48.88257388876332], [2.3642399684690467, 48.88257126839559], [2.3645008760264465, 48.88271094337719]]], ""type"": ""Polygon""}";48.88261177365678, 2.3644037804904943
CP002644;;75014;12;3;RATP;CREATION_ENTRETIEN_OUVRAGE_ART;Création d'une sortie de métro piétonne.;Rue Niepce;;2024-03-01;2026-07-31;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3178901491779564, 48.835308001945826], [2.3189344561423457, 48.83446000732315], [2.318745808937063, 48.83457708891329], [2.3189674159672196, 48.83442797048929], [2.3188705700426113, 48.834368341057065], [2.3177773129762183, 48.835226797195716], [2.3178901491779564, 48.835308001945826]]], ""type"": ""Polygon""}";48.83484937402215, 2.3183568054757377
CP002680;;75015;12;3;R.A.T.P;TRAVAUX_OUVRAGE;Travaux de réfaction et d'agrandissement du réseaux de ventilation RATP.;42 boulevard du Montparnasse.;du 42 au 48 angle rue d'Alençon.;2024-10-07;2026-02-16;RESTREINTE;Fermeture du couloir de BUS RATP et renvoie des BUS dans la circulation générale. Réduction de la largeur du trottoir du 42 au 44.;2;2;;"{""coordinates"": [[[2.320606522927883, 48.84489093261104], [2.321090737865782, 48.84473054679169], [2.3210658001525717, 48.844692810964936], [2.3208093891972212, 48.844777957056245], [2.320811379697762, 48.844781325681645], [2.320788416547717, 48.84474829928414], [2.3205524409300247, 48.84482617706741], [2.320606522927883, 48.84489093261104]]], ""type"": ""Polygon""}";48.8447949508643, 2.3207923341848087
CP002795;;75017;9;1;STV;REAMENAGEMENT_SECTEUR;Voie vélo avec végétalisation du tronçon entre avenue de la Grande Armée et la rue Carnot;Rue des Acacias;;2025-02-17;2025-08-30;BARRAGE_TOTAL;Fermeture de la rue.;1;4;;"{""coordinates"": [[[2.2920869725732276, 48.87709311097464], [2.292112528637049, 48.87701001825019], [2.2892856468406206, 48.87592990104275], [2.2892420053323677, 48.875846398867594], [2.289061906420084, 48.87591783163206], [2.2892879224091667, 48.876061493620476], [2.2893701429283015, 48.87600290579257], [2.2920869725732276, 48.87709311097464]]], ""type"": ""Polygon""}";48.876494919407065, 2.2906693279631147
CP002829;;75002;11;2;RATP;TRAVAUX_OUVRAGE;Travaux d'étanchéité sur ouvrage;Rue Réaumur;;2025-03-31;2025-07-11;RESTREINTE;"Fermeture de la Notre- Dame des  Victoires
de la rue Réaumur jusqu'au 33 Place de la Bourse";1;2;;"{""coordinates"": [[[2.3422089971115283, 48.86857598928656], [2.3428093034053274, 48.8684208560689], [2.3428134076409046, 48.868418193167635], [2.342777725708607, 48.86834280951194], [2.342157339668386, 48.868476350522926], [2.3422089971115283, 48.86857598928656]]], ""type"": ""Polygon""}";48.86845689175484, 2.342475803287205
CP002839;;;11;2;Fraicheur de Paris;CREATION_RESEAUX;;Pont au Change;;2025-05-13;2025-05-27;RESTREINTE;Fermeture de la bidirectionnelle vélo sur le pont. Les cyclistes sont renvoyés en circulation générale.;1;2;;"{""coordinates"": [[[2.346487678319518, 48.856249211577754], [2.3469970560564706, 48.85716767978102], [2.3471032931500666, 48.85713335115393], [2.3465570562315863, 48.85623347856508], [2.346487678319518, 48.856249211577754]]], ""type"": ""Polygon""}";48.85673122620152, 2.3468066964468304
CP002744;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;Végétalisation du bd Sérurier;Boulevard Sérurier;entre av. de la Porte Brunet et rue de Mouzaia;2025-04-21;2025-09-12;SENS_UNIQUE;"Mise en sens unique du bd Sérurier vers l'av. de la Porte Brunet.
Déviation : rue du Général Brunet - rue Mouzaia";1;2;;"{""coordinates"": [[[2.3949066084064365, 48.88307797541902], [2.3951495127130062, 48.88319735352016], [2.395494493392858, 48.88294131402339], [2.3961324760582543, 48.882697492339446], [2.3962983145456147, 48.88244054765652], [2.3962375332273886, 48.88206430926299], [2.396733044195562, 48.88146531582253], [2.3972920668018656, 48.88100627207098], [2.398652607448278, 48.88023976672042], [2.3982785669688544, 48.88019492374797], [2.397295422866669, 48.88071628376972], [2.396654981312641, 48.88117491735246], [2.3963409680321144, 48.88157074886], [2.3960101686982433, 48.88200945737145], [2.3959882786164477, 48.882492688082], [2.3955128974941426, 48.882758811413275], [2.395169415021967, 48.88288596718757], [2.3949066084064365, 48.88307797541902]]], ""type"": ""Polygon""}";48.881601564159965, 2.3966907751525093
CP002782;;75010;11;1;S.T.V;REAMENAGEMENT_SECTEUR;Embellir votre quartier et fermeture des deux voies de chaque coté de l'église Saint Vincent de Paul;Rue Fénélon Rue Bossuet.;;2025-02-10;2025-06-20;BARRAGE_TOTAL;"Du 10/02/ au 07/04/  coté impair fermé,
du 07/04/ au 20/06/ coté pair fermé et sur le tronçon rue de Belzunce en demi chaussée durant toute la période des travaux.";2;2;;"{""coordinates"": [[[2.352152402234131, 48.87953656405322], [2.3524563598371353, 48.87932070314852], [2.3524726099439377, 48.8793234764512], [2.3522980317255517, 48.87862973900353], [2.3521878500377515, 48.878650624302665], [2.3523513150941957, 48.879255689635656], [2.3520516638827638, 48.879452775744596], [2.3516228142944264, 48.8792356347836], [2.3514755393642823, 48.87863871233358], [2.351357216367079, 48.878659552766216], [2.351583667528027, 48.87943681573605], [2.352026001811171, 48.879551991513786], [2.352152402234131, 48.87953656405322]]], ""type"": ""Polygon""}";48.87916869834462, 2.3519376756376023
CP002854;;75015;13;1;DVD;SONDAGES_INJECTIONS;Injonction enfin de consolidé un carrière;4 Rue Gaston Boissier;Entre Boulevard Lefebvre jusqu'à l'Avenue  Albert Bartholomé;2025-06-02;2025-09-19;RESTREINTE;"La circulation fermée sur la rue Gaston Boissier 
dans le sens Boulevard Lefebvre jusqu'à  l'Avenue Albert Bartholomé.";;1;;"{""coordinates"": [[[2.2952227316190132, 48.82960800706199], [2.2953609392805965, 48.82961419252253], [2.2944404450964133, 48.82910659837506], [2.2943870295523814, 48.82914656372019], [2.2952227316190132, 48.82960800706199]]], ""type"": ""Polygon""}";48.82936907401136, 2.2948542165538
